Gi?i tính,Nam sinh,T?nh liên h?,Ngh? nghi?p,Ngành ngh?,M?c Luong,Tình tr?ng hôn nhân,T?nh
N?,2003,T?nh H?i Duong,Công nhân ki?m tra hàng,Công nghi?p và s?n xu?t,4050000,,1
N?,2001,T?nh Hà Tinh,Công nhân Ki?m tra ngo?i d?ng,Công nghi?p và s?n xu?t,5100000,,2
N?,1998,Thành ph? H?i Phòng,Công nhân ki?m tra ngo?i quan - d?u vào,Công nghi?p và s?n xu?t,5380000,,1
Nam,1987,T?nh Hà Giang,Công nhân ki?m tra và l?p ráp linh ki?n nh?a làm 3 ca,Công nghi?p và s?n xu?t,3920000,,1
Nam,1997,T?nh Hà Giang,Công nhân Ki?m tra và l?p ráp linh ki?n nh?a làm 3 ca,Công nghi?p và s?n xu?t,4565000,,1
Nam,1995,T?nh B?c Ninh,Công nhân KT,Công nghi?p và s?n xu?t,3970000,,1
Nam,1993,T?nh Thanh Hóa,Công nhân kt dúc s? 1,Công nghi?p và s?n xu?t,8150000,,2
Nam,1991,T?nh Vinh Phúc,Công nhân KV2,Công nghi?p và s?n xu?t,3969700,,1
Nam,1993,T?nh Thanh Hóa,Công nhân k? thu?t,Khoa h?c k? thu?t,5900000,,2
Nam,1991,T?nh B?c Ninh,Công nhân k? thu?t,Khoa h?c k? thu?t,6500000,,1
Nam,1991,T?nh Ngh? An,Công nhân k? thu?t,Khoa h?c k? thu?t,9600000,,2
Nam,1997,Thành ph? Hà N?i,Công nhân k? thu?t,Khoa h?c k? thu?t,5210000,,1
Nam,1985,T?nh Thái Nguyên,Công nhân k? thu?t,Khoa h?c k? thu?t,3850000,,1
Nam,1975,Thành ph? Hà N?i,Công nhân k? thu?t,Khoa h?c k? thu?t,4729400,,1
Nam,1991,T?nh B?c Ninh,Công nhân k? thu?t,Khoa h?c k? thu?t,5500000,,1
Nam,1995,Thành ph? Hà N?i,Công nhân k? thu?t,Khoa h?c k? thu?t,7000000,,1
Nam,1981,T?nh Ninh Thu?n,Công nhân k? thu?t,Khoa h?c k? thu?t,4800000,,2
Nam,1998,T?nh Son La,Công nhân k? thu?t,Khoa h?c k? thu?t,5062000,,1
Nam,1999,Thành ph? Hà N?i,Công nhân k? thu?t,Khoa h?c k? thu?t,4729400,,1
Nam,1991,T?nh Lai Châu,Công nhân k? thu?t,Khoa h?c k? thu?t,3927007,,1
Nam,1993,T?nh Vinh Phúc,Công nhân k? thu?t,Khoa h?c k? thu?t,4620000,,1
Nam,1991,T?nh Hung Yên,Công nhân k? thu?t,Khoa h?c k? thu?t,4730000,,1
Nam,1995,Thành ph? Hà N?i,Công nhân k? thu?t,Khoa h?c k? thu?t,5000000,,1
N?,1997,,Công nhân k? thu?t,Khoa h?c k? thu?t,4100000,,#N/A
Nam,1994,T?nh Thái Bình,Công nhân k? thu?t buloong,Khoa h?c k? thu?t,5212272,,1
Nam,1998,T?nh Ð?k L?k,CÔNG NHÂN K? THU?T KHUÔN D?P,Khoa h?c k? thu?t,6275000,,3
Nam,1992,T?nh Hà Tinh,"Công nhân K? thu?t làm vi?c t?i Bình Son, Quãng Ngãi (thu?c vùng 3)",Khoa h?c k? thu?t,4461000,,2
Nam,1992,Thành ph? H?i Phòng,Công nhân k? thu?t son,Khoa h?c k? thu?t,5911750,,1
Nam,1999,T?nh B?c Ninh,Công nhân k? thu?t t? di?n,Khoa h?c k? thu?t,5200000,,1
Nam,1996,T?nh B?c Giang,Công nhân là,Công nghi?p và s?n xu?t,3876000,,1
Nam,1999,Thành ph? H?i Phòng,Công nhân là,Công nghi?p và s?n xu?t,4969000,,1
Nam,1995,T?nh Hòa Bình,Công nhân là,Công nghi?p và s?n xu?t,4965870,,1
Nam,1991,,Công nhân là,Công nghi?p và s?n xu?t,4400000,,#N/A
Nam,1990,,Công nhân là,Công nghi?p và s?n xu?t,2697600,,#N/A
Nam,1995,,Công nhân là (may công nghi?p),Công nghi?p và s?n xu?t,0,,#N/A
Nam,1999,T?nh B?c Giang,Công nhân là g?p dóng gói,Công nghi?p và s?n xu?t,3876000,,1
Nam,2000,T?nh H?i Duong,"Công nhân là g?p, dóng gói",Công nghi?p và s?n xu?t,3854000,,1
Nam,1995,T?nh H?i Duong,Công nhân là hoi,Công nghi?p và s?n xu?t,5474875,,1
Nam,1998,T?nh Phú Th?,Công nhân là hoi,Công nghi?p và s?n xu?t,4404120,,1
Nam,1996,T?nh Thanh Hóa,Công nhân là may công nghi?p,Công nghi?p và s?n xu?t,3979200,,2
Nam,1994,T?nh B?c K?n,Công nhân là thành ph?m,Công nghi?p và s?n xu?t,3492000,,1
Nam,1998,T?nh H?i Duong,Công nhân là trong chuy?n,Công nghi?p và s?n xu?t,4462000,Ðã k?t hôn,1
Nam,1985,,"Công nhân là, g?p, dóng gói",Công nghi?p và s?n xu?t,4840000,,#N/A
Nam,1996,T?nh Thái Bình,"Công nhân là, g?p, dóng gói",Công nghi?p và s?n xu?t,3853605,,1
N?,1989,T?nh Ngh? An,"Công nhân là, g?p, dóng gói",Công nghi?p và s?n xu?t,4386000,Ðã k?t hôn,2
Nam,1992,T?nh Thanh Hóa,"Công nhân là, g?p, dóng gói",Công nghi?p và s?n xu?t,3861603,,2
Nam,1993,T?nh H?i Duong,"Công nhân là, g?p, dóng gói may công nghi?p",Công nghi?p và s?n xu?t,3854000,,1
Nam,1978,T?nh Lào Cai,"Công nhân lái d?u máy Ðiêzêl, Chi nhánh v?n t?i du?ng s?t",Giao thông v?n t?i,8189200,,1
Nam,1994,T?nh Ngh? An,Công nhân lái d?u máy xe l?a,Công nghi?p và s?n xu?t,7160400,,2
Nam,1995,T?nh Thái Nguyên,Công nhân lái máy xúc,Giao thông v?n t?i,4194400,,1
Nam,1993,T?nh Lào Cai,Công nhân Lái xe,Giao thông v?n t?i,4194400,,1
Nam,1990,Thành ph? Hà N?i,"Công nhân lái xe buu chính (Lái xe t?i du?i 7,5 t?n)",Giao thông v?n t?i,4577000,,1
Nam,1996,T?nh Yên Bái,Công nhân lái xe nâng,Giao thông v?n t?i,3670100,,1
Nam,1987,T?nh Thái Nguyên,Công nhân lái xe t?i,Giao thông v?n t?i,3969700,,1
Nam,1989,,Công nhân lái xe t?i 12 t?n,Giao thông v?n t?i,0,,#N/A
Nam,1992,T?nh Lào Cai,Công nhân lái xe t?i 58.5 t?n,Giao thông v?n t?i,4596000,,1
Nam,1996,T?nh Hung Yên,Công nhân làm máy,Công nghi?p và s?n xu?t,4247579,,1
N?,1999,T?nh An Giang,CÔNG NHÂN LÀM M?P X?P,Công nghi?p và s?n xu?t,4943000,,3
N?,1984,Thành ph? H? Chí Minh,Công Nhân Làm Tem,Công nghi?p và s?n xu?t,5798000,Ðã k?t hôn,3
Nam,1988,T?nh Tuyên Quang,Công nhân làm và s?a ch?a du?ng m?,Công nghi?p và s?n xu?t,2992000,,1
N?,2003,Thành ph? Hà N?i,Công nhân làm vi?c trong xu?ng xúc xích,Công nghi?p và s?n xu?t,4730000,,1
Nam,1999,Thành ph? Hà N?i,Công nhân làm vi?c trong xu?ng xúc xích,Công nghi?p và s?n xu?t,5338000,,1
Nam,1995,T?nh Thanh Hóa,Công nhân l?ng da. KTNN,Công nghi?p và s?n xu?t,3900000,,2
Nam,1994,Thành ph? Hà N?i,Công nhân lành ngh?,Công nghi?p và s?n xu?t,5400000,,1
Nam,2000,T?nh An Giang,Công nhân lao d?ng ph? thông,Công nghi?p và s?n xu?t,4420000,,3
Nam,1992,T?nh Ninh Thu?n,Công nhân lao d?ng ph? thông,Công nghi?p và s?n xu?t,3285000,,2
Nam,1987,T?nh Ngh? An,Công nhân lao d?ng ph? thông,Công nghi?p và s?n xu?t,3223500,,2
Nam,1996,T?nh Ð?ng Nai,Công nhân lao d?ng ph? thông,Công nghi?p và s?n xu?t,3980000,,3
Nam,1996,T?nh Thái Nguyên,Công nhân lao d?ng ph? thông,Công nghi?p và s?n xu?t,3320000,,1
Nam,2001,T?nh H?i Duong,Công nhân lao d?ng ph? thông,Công nghi?p và s?n xu?t,3430000,,1
N?,1993,T?nh Ð?ng Nai,Công nhân lao d?ng ph? thông,Công nghi?p và s?n xu?t,4194400,,3
Nam,1989,,Công nhân lao d?ng ph? thông,Công nghi?p và s?n xu?t,3320000,,#N/A
Nam,1978,T?nh H?i Duong,Công nhân lão hóa,Công nghi?p và s?n xu?t,3900000,,1
Nam,2000,T?nh Khánh Hòa,Công nhân l?p d?t,Công nghi?p và s?n xu?t,4729400,,2
Nam,1997,T?nh B?c K?n,Công nhân l?p d?t,Công nghi?p và s?n xu?t,4729400,,1
Nam,2001,T?nh Qu?ng Nam,Công nhân l?p d?t c?a,Công nghi?p và s?n xu?t,4194400,,2
N?,1994,,Công nhân l?p ráp,Công nghi?p và s?n xu?t,5403000,,#N/A
N?,1996,T?nh Qu?ng Bình,Công Nhân L?p Ráp,Công nghi?p và s?n xu?t,4482500,Ðã k?t hôn,2
N?,1992,,Công nhân l?p ráp,Công nghi?p và s?n xu?t,2200000,Ðã k?t hôn,#N/A
Nam,1994,T?nh Ð?ng Nai,Công nhân l?p ráp,Công nghi?p và s?n xu?t,5600000,,3
Nam,1990,Thành ph? H?i Phòng,Công nhân L?p ráp,Công nghi?p và s?n xu?t,4730000,,1
N?,1993,,Công nhân l?p ráp,Công nghi?p và s?n xu?t,6251000,,#N/A
Nam,1998,T?nh Thái Bình,Công nhân L?p ráp,Công nghi?p và s?n xu?t,3700000,,1
N?,1999,Thành ph? Hà N?i,Công nhân l?p ráp,Công nghi?p và s?n xu?t,5460000,,1
Nam,1995,Thành ph? Hà N?i,Công nhân l?p ráp,Công nghi?p và s?n xu?t,4900000,,1
Nam,1985,T?nh Tuyên Quang,Công nhân l?p ráp,Công nghi?p và s?n xu?t,5665000,,1
Nam,2002,T?nh H?i Duong,Công nhân l?p ráp,Công nghi?p và s?n xu?t,4100000,,1
N?,2000,T?nh Thanh Hóa,Công nhân l?p ráp,Công nghi?p và s?n xu?t,4500000,,2
Nam,1991,T?nh Thanh Hóa,Công nhân l?p ráp,Công nghi?p và s?n xu?t,4880000,,2
Nam,1990,T?nh Hung Yên,Công nhân l?p ráp,Công nghi?p và s?n xu?t,4300000,,1
Nam,1994,T?nh Thanh Hóa,Công nhân l?p ráp,Công nghi?p và s?n xu?t,5058000,,2
Nam,1998,T?nh B?c Giang,Công nhân L?p Ráp,Công nghi?p và s?n xu?t,4400000,,1
Nam,1977,T?nh Sóc Trang,Công nhân L?p ráp,Công nghi?p và s?n xu?t,3980000,,3
Nam,2001,Thành ph? Hà N?i,Công nhân L?p ráp,Công nghi?p và s?n xu?t,5000000,,1
Nam,2000,T?nh B?c Ninh,Công nhân l?p ráp,Công nghi?p và s?n xu?t,4600000,,1
Nam,2000,Thành ph? Hà N?i,Công nhân l?p ráp,Công nghi?p và s?n xu?t,4965870,,1
Nam,1995,T?nh B?c Giang,Công nhân l?p ráp,Công nghi?p và s?n xu?t,6100000,,1
Nam,2001,T?nh H?i Duong,Công nhân l?p ráp,Công nghi?p và s?n xu?t,3970000,,1
Nam,1992,Thành ph? Hà N?i,Công nhân l?p ráp,Công nghi?p và s?n xu?t,5040000,,1
Nam,1998,T?nh Ð?ng Nai,Công nhân l?p ráp,Công nghi?p và s?n xu?t,4497400,,3
Nam,2001,T?nh Ngh? An,Công nhân l?p ráp,Công nghi?p và s?n xu?t,5020000,,2
Nam,1999,T?nh Vinh Phúc,Công nhân l?p ráp,Công nghi?p và s?n xu?t,4653150,,1
Nam,1996,T?nh Ð?k L?k,Công nhân la´p ra´p,Công nghi?p và s?n xu?t,4903098,,3
N?,1996,T?nh Ð?ng Nai,Công nhân l?p ráp,Công nghi?p và s?n xu?t,4458600,,3
Nam,2002,T?nh Ngh? An,Công nhân L?p ráp,Công nghi?p và s?n xu?t,4500000,,2
Nam,1998,T?nh Hà Tinh,Công nhân l?p ráp,Công nghi?p và s?n xu?t,4750000,,2
Nam,1997,T?nh Hung Yên,Công nhân l?p ráp,Công nghi?p và s?n xu?t,4300000,,1
Nam,1998,T?nh Hà Tinh,Công nhân l?p ráp,Công nghi?p và s?n xu?t,4750000,,2
Nam,1999,T?nh Thanh Hóa,Công nhân l?p ráp,Công nghi?p và s?n xu?t,5500000,,2
Nam,1997,T?nh Phú Yên,Công nhân l?p ráp,Công nghi?p và s?n xu?t,5550000,,2
Nam,2001,Thành ph? Hà N?i,Công nhân L?p ráp,Công nghi?p và s?n xu?t,4500000,,1
Nam,1993,T?nh Ð?ng Nai,Công Nhân l?p ráp,Công nghi?p và s?n xu?t,4780000,,3
Nam,2001,T?nh Cà Mau,Công nhân l?p ráp,Công nghi?p và s?n xu?t,4810000,,3
Nam,1991,T?nh Ngh? An,Công nhân L?p ráp,Công nghi?p và s?n xu?t,4500000,,2
Nam,1994,T?nh Thanh Hóa,Công nhân l?p ráp,Công nghi?p và s?n xu?t,3970000,,2
Nam,1995,T?nh Ð?ng Nai,Công nhân l?p ráp,Công nghi?p và s?n xu?t,4450670,,3
N?,2002,T?nh Ngh? An,Công nhân L?p ráp - S?n xu?t l?p ráp,Công nghi?p và s?n xu?t,3900000,,2
Nam,1995,T?nh Long An,Công nhân l?p ráp acquy,Công nghi?p và s?n xu?t,5326212,,3
N?,1990,T?nh Thái Nguyên,Công nhân l?p ráp dây d?n di?n ô tô,Công nghi?p và s?n xu?t,4300000,,1
Nam,1994,T?nh Thái Nguyên,Công nhân l?p ráp dây d?n di?n ô tô,Công nghi?p và s?n xu?t,4200000,,1
Nam,1991,T?nh H?i Duong,Công nhân l?p ráp Dây di?n,Công nghi?p và s?n xu?t,5246000,,1
N?,2001,T?nh Hà Nam,Công nhân l?p ráp d?m nhi?t ô tô,Công nghi?p và s?n xu?t,4589550,,1
Nam,1996,T?nh Ti?n Giang,Công nhân l?p ráp di?n l?nh,Công nghi?p và s?n xu?t,4990000,,3
Nam,1985,Thành ph? H?i Phòng,Công nhân l?p ráp di?n t?,Công nghi?p và s?n xu?t,4729400,,1
Nam,1992,T?nh Ð?ng Nai,Công nhân l?p ráp di?n t?,Công nghi?p và s?n xu?t,4900000,,3
Nam,2000,T?nh Thanh Hóa,Công nhân l?p ráp di?n t?,Công nghi?p và s?n xu?t,4196007,,2
Nam,2000,T?nh Ð?ng Nai,Công nhân l?p ráp di?n t?,Công nghi?p và s?n xu?t,4472600,,3
N?,2001,T?nh H?i Duong,Công nhân l?p ráp di?n t?,Công nghi?p và s?n xu?t,3970000,,1
Nam,1997,Thành ph? H? Chí Minh,CÔNG NHÂN L?P RáP ÐI?N T?,Công nghi?p và s?n xu?t,4300000,Ðã k?t hôn,3
Nam,2001,T?nh Bình Ð?nh,Công nhân l?p ráp di?n t?,Công nghi?p và s?n xu?t,4900000,,2
Nam,1991,T?nh Thanh Hóa,Công nhân l?p ráp gh? Sofa,Công nghi?p và s?n xu?t,5500000,,2
Nam,1992,T?nh Thanh Hóa,Công nhân l?p ráp gh? Sofa,Công nghi?p và s?n xu?t,5200000,,2
N?,1998,Thành ph? Ðà N?ng,Công nhân L?p ráp gu?ng cu?c,Công nghi?p và s?n xu?t,4214400,,2
Nam,1997,T?nh Hòa Bình,Công nhân l?p ráp linh ki?n di?n tho?i - PBA,Công nghi?p và s?n xu?t,4350000,,1
Nam,1995,T?nh B?c Ninh,Công nhân l?p ráp linh ki?n di?n t?,Công nghi?p và s?n xu?t,4624676,,1
Nam,2000,T?nh Phú Th?,Công nhân l?p ráp linh ki?n di?n t?,Công nghi?p và s?n xu?t,4550000,,1
Nam,1998,T?nh H?i Duong,Công nhân l?p ráp linh ki?n di?n t?,Công nghi?p và s?n xu?t,4170416,,1
N?,1988,T?nh Phú Th?,Công nhân la´p ra´p linh kiê?n diê?n tu?,Công nghi?p và s?n xu?t,5000000,Ðã k?t hôn,1
N?,1991,T?nh B?c Giang,Công nhân l?p ráp linh ki?n di?n t?,Công nghi?p và s?n xu?t,4792000,,1
Nam,2000,T?nh Thanh Hóa,Công nhân l?p ráp loa,Công nghi?p và s?n xu?t,4300000,,2
N?,1987,T?nh Phú Th?,Công nhân l?p ráp m?ch di?n t?,Công nghi?p và s?n xu?t,4800000,,1
N?,1992,T?nh Tuyên Quang,Công nhân l?p ráp m?ch di?n t?,Công nghi?p và s?n xu?t,4595000,Ðã k?t hôn,1
N?,1997,,Công nhân l?p ráp m?ch di?n t?,Công nghi?p và s?n xu?t,5620000,,#N/A
N?,1991,T?nh Phú Th?,Công nhân l?p ráp m?ch di?n t?,Công nghi?p và s?n xu?t,4595000,,1
Nam,1999,T?nh H?i Duong,Công nhân l?p ráp máy,Công nghi?p và s?n xu?t,5510000,,1
Nam,1996,T?nh Ngh? An,Công nhân l?p ráp nhóm d?i m?i,Công nghi?p và s?n xu?t,4900000,,2
Nam,2001,T?nh Yên Bái,Công nhân l?p ráp`,Công nghi?p và s?n xu?t,4880000,,1
Nam,1991,,"Công nhân l?y m?u, phân tích qu?ng và s?n ph?m kim lo?i màu",Công nghi?p và s?n xu?t,4213125,,#N/A
Nam,2002,T?nh Ngh? An,Công nhân LGDP,Công nghi?p và s?n xu?t,6070000,,2
N?,2001,T?nh Ngh? An,Công Nhân LGHP,Công nghi?p và s?n xu?t,4730000,,2
Nam,1992,T?nh Thái Nguyên,Công nhân LGHP,Công nghi?p và s?n xu?t,4850000,,1
Nam,2000,Thành ph? H?i Phòng,Công nhân LGHP,Công nghi?p và s?n xu?t,4473000,,1
Nam,1989,Thành ph? H?i Phòng,Công nhân LGHP,Công nghi?p và s?n xu?t,4259000,,1
Nam,1999,T?nh Bình Phu?c,Công nhân LINE 5,Công nghi?p và s?n xu?t,4670000,,3
Nam,1990,T?nh Th?a Thiên Hu?,"Công nhân Lò nung, Phuong án: TD; HÐLÐ s?
111/2019/HÐLÐ-PS làm vi?c t?i Lô
CN 17, KCN Phú da, huy?n Phú
Vang, TT Hu?",Công nghi?p và s?n xu?t,3673000,,2
Nam,2000,T?nh Ð?ng Nai,Công nhân Lò than,Công nghi?p và s?n xu?t,5806000,,3
Nam,1993,T?nh Ninh Bình,Công nhân lò th?i,Công nghi?p và s?n xu?t,3306000,,1
Nam,1989,T?nh Ð?ng Nai,Công nhân lò xo,Công nghi?p và s?n xu?t,4547000,,3
Nam,1993,T?nh Hung Yên,Công nhân L?c,Công nghi?p và s?n xu?t,4194400,,1
Nam,1986,T?nh Qu?ng Nam,Công nhân luu hóa các s?n ph?m cao su. KTNN,Công nghi?p và s?n xu?t,5007800,,2
Nam,1993,T?nh Bình Duong,Công nhân luy?n cao su,Công nghi?p và s?n xu?t,4388000,,3
Nam,1997,T?nh Bình Phu?c,Công nhân M8,Công nghi?p và s?n xu?t,4730000,,3
Nam,1998,T?nh Thái Nguyên,Công nhân m? hàng,Công nghi?p và s?n xu?t,4200000,,1
Nam,1992,T?nh Phú Th?,Công nhân m? k?m,Công nghi?p và s?n xu?t,4404120,,1
Nam,1996,T?nh Sóc Trang,Công nhân mài,Công nghi?p và s?n xu?t,4729400,,3
Nam,1992,T?nh H?i Duong,Công nhân mài,Công nghi?p và s?n xu?t,3900000,,1
Nam,1992,,Công nhân mài bóng,Công nghi?p và s?n xu?t,4473000,,#N/A
Nam,1996,T?nh Long An,Công nhân mài chén,Công nghi?p và s?n xu?t,4194700,,3
N?,1996,T?nh Ngh? An,"CÔNG NHÂN MÀI NH?N M?T DA, L?NG DA",Công nghi?p và s?n xu?t,5200000,Ðã k?t hôn,2
Nam,2000,T?nh Phú Th?,Công nhân mài qu?n bò,Công nghi?p và s?n xu?t,3450000,,1
Nam,1995,T?nh Bà R?a - Vung Tàu,Công nhân mài thô,Công nghi?p và s?n xu?t,5132400,,3
Nam,1990,T?nh Sóc Trang,Công nhân may,Công nghi?p và s?n xu?t,5165000,,3
N?,2001,T?nh Gia Lai,Công nhân may,Công nghi?p và s?n xu?t,4965870,,3
N?,1995,T?nh B?c Giang,Công nhân may,Công nghi?p và s?n xu?t,4060000,,1
Nam,1995,T?nh Ð?k L?k,Công nhân May,Công nghi?p và s?n xu?t,5370000,,3
N?,2003,T?nh Sóc Trang,Công nhân may,Công nghi?p và s?n xu?t,4967000,,3
N?,1996,T?nh Trà Vinh,Công nhân may,Công nghi?p và s?n xu?t,3100860,,3
N?,2002,T?nh An Giang,Công nhân may,Công nghi?p và s?n xu?t,4966000,,3
Nam,1996,T?nh Trà Vinh,Công Nhân May,Công nghi?p và s?n xu?t,3449250,,3
Nam,2000,T?nh Ð?k L?k,Công Nhân May,Công nghi?p và s?n xu?t,5395121,,3
Nam,1994,T?nh Thanh Hóa,Công nhân may,Công nghi?p và s?n xu?t,3671000,,2
Nam,1994,T?nh Hà Tinh,CÔNG NHÂN MAY,Công nghi?p và s?n xu?t,5366000,,2
Nam,1994,T?nh Thanh Hóa,Công nhân may,Công nghi?p và s?n xu?t,3671000,,2
Nam,1996,T?nh Phú Yên,Công nhân May,Công nghi?p và s?n xu?t,6370000,,2
Nam,1986,,CÔNG NHÂN MAY,Công nghi?p và s?n xu?t,7098752,,#N/A
Nam,1995,T?nh An Giang,Công nhân May,Công nghi?p và s?n xu?t,4730000,,3
Nam,2002,Thành ph? H? Chí Minh,Công Nhân May,Công nghi?p và s?n xu?t,4697196,,3
Nam,1998,T?nh Tây Ninh,Công nhân may,Công nghi?p và s?n xu?t,3258150,,1
N?,1976,T?nh An Giang,Công nhân may,Công nghi?p và s?n xu?t,7449000,,3
N?,1992,,Công nhân may,Công nghi?p và s?n xu?t,5770000,Ðã k?t hôn,#N/A
N?,1988,Thành ph? H? Chí Minh,Công nhân may,Công nghi?p và s?n xu?t,4970000,Ðã k?t hôn,3
Nam,2001,T?nh Ð?ng Tháp,Công nhân may,Công nghi?p và s?n xu?t,5271000,,3
N?,1990,,Công nhân may,Công nghi?p và s?n xu?t,4723000,,#N/A
Nam,1998,T?nh Ngh? An,Công nhân may,Công nghi?p và s?n xu?t,5214164,,2
N?,1998,,Công nhân may,Công nghi?p và s?n xu?t,4050000,,#N/A
N?,1989,T?nh An Giang,Công Nhân May,Công nghi?p và s?n xu?t,5392027,,3
Nam,1996,T?nh Sóc Trang,Công nhân may,Công nghi?p và s?n xu?t,5229062,,3
Nam,1999,T?nh Thanh Hóa,Công nhân May,Công nghi?p và s?n xu?t,4086600,,2
N?,1998,T?nh Kiên Giang,Công nhân may,Công nghi?p và s?n xu?t,5039900,,3
Nam,1998,T?nh Thanh Hóa,Công nhân may,Công nghi?p và s?n xu?t,3284900,,2
Nam,1992,T?nh Qu?ng Ngãi,Công nhân may,Công nghi?p và s?n xu?t,5805000,,2
Nam,2000,T?nh Phú Th?,Công nhân may,Công nghi?p và s?n xu?t,4404120,,1
N?,1995,T?nh Ð?ng Tháp,Công Nhân May,Công nghi?p và s?n xu?t,4965000,,3
N?,1998,T?nh Sóc Trang,Công nhân may,Công nghi?p và s?n xu?t,4404120,,3
N?,1989,T?nh Kiên Giang,Công nhân may,Công nghi?p và s?n xu?t,4965870,Ðã k?t hôn,3
Nam,1989,T?nh Lào Cai,Công nhân may,Công nghi?p và s?n xu?t,4729400,,1
N?,1999,T?nh Bình Phu?c,Công nhân may,Công nghi?p và s?n xu?t,5365000,Ðã k?t hôn,3
Nam,1999,Thành ph? H?i Phòng,Công nhân May,Công nghi?p và s?n xu?t,4729400,,1
Nam,1988,T?nh Tây Ninh,Công nhân may,Công nghi?p và s?n xu?t,4702770,,1
N?,1979,Thành ph? H? Chí Minh,Công Nhân May,Công nghi?p và s?n xu?t,4019780,,3
N?,1995,T?nh Qu?ng Ninh,Công nhân may,Công nghi?p và s?n xu?t,4405000,Ðã k?t hôn,1
N?,1999,T?nh Ð?ng Nai,CÔNG NHÂN MAY,Công nghi?p và s?n xu?t,4830000,,3
Nam,2000,T?nh Cà Mau,Công nhân may,Công nghi?p và s?n xu?t,4967000,,3
N?,1991,Thành ph? H? Chí Minh,Công nhân may,Công nghi?p và s?n xu?t,4733000,,3
Nam,2000,T?nh Nam Ð?nh,Công nhân may,Công nghi?p và s?n xu?t,4000000,,1
Nam,1997,T?nh Bình Duong,Công nhân May,Công nghi?p và s?n xu?t,5370000,,3
Nam,1998,T?nh Thanh Hóa,CÔNG NHÂN MÁY,Công nghi?p và s?n xu?t,4950000,,2
Nam,2000,T?nh Ð?ng Nai,Công Nhân May 1 Kim,Công nghi?p và s?n xu?t,6576500,,3
N?,1990,,Công nhân may 2,Công nghi?p và s?n xu?t,888100,Ðã k?t hôn,#N/A
Nam,1979,,Công nhân máy cang,Công nghi?p và s?n xu?t,12425327,,#N/A
Nam,1993,T?nh Thanh Hóa,Công nhân máy c?t,Công nghi?p và s?n xu?t,4100000,,2
Nam,1996,T?nh Qu?ng Ngãi,Công nhân máy c?t t? d?ng,Công nghi?p và s?n xu?t,4350000,,2
Nam,2002,T?nh Ti?n Giang,Công nhân Máy ch?t,Công nghi?p và s?n xu?t,4491200,,3
Nam,1996,T?nh B?c Giang,Công nhân may CN,Công nghi?p và s?n xu?t,3700000,,1
Nam,2000,T?nh Th?a Thiên Hu?,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,3876000,,2
Nam,2000,T?nh H?i Duong,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,4410000,,1
Nam,1991,T?nh Thanh Hóa,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,4537000,,2
Nam,1990,Thành ph? Hà N?i,Công nhân May công nghi?p,Công nghi?p và s?n xu?t,5476000,,1
N?,1986,T?nh Thanh Hóa,Công Nhân May công nghi?p,Công nghi?p và s?n xu?t,6474000,Ðã k?t hôn,2
Nam,1993,T?nh Hung Yên,Công nhân May công nghi?p,Công nghi?p và s?n xu?t,4430000,,1
Nam,1998,T?nh Son La,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,4404120,,1
N?,1985,T?nh Thanh Hóa,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,4175641,Ðã k?t hôn,2
Nam,1985,T?nh Thái Bình,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,3450000,,1
N?,1997,T?nh Ti?n Giang,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,3900000,,3
N?,1994,,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,3277000,,#N/A
N?,1996,T?nh Hung Yên,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,3880000,,1
N?,1993,T?nh Bình Ð?nh,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,3643000,Ðã k?t hôn,2
N?,1988,Phu?ng B?ng Son,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,4565000,Ðã k?t hôn,3
N?,1988,T?nh Thanh Hóa,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,6916000,Ðã k?t hôn,2
Nam,1989,T?nh Thái Bình,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,3853605,,1
Nam,1992,T?nh B?c Giang,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,4461000,,1
Nam,1996,Thành ph? H? Chí Minh,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,4994600,,3
Nam,1998,T?nh H?i Duong,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,5474875,,1
Nam,1996,,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,3185123,,#N/A
N?,1997,T?nh Thanh Hóa,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,4376923,,2
Nam,1993,,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,2846400,,#N/A
N?,2000,T?nh Ti?n Giang,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,4405000,,3
Nam,2000,T?nh Hung Yên,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,4429600,,1
Nam,1990,T?nh Thanh Hóa,Công nhân may công nghi?p,Công nghi?p và s?n xu?t,4405000,,2
